A Matrix
NP->NP nan
NP->NN nan
NP->JJ nan
NP->IN nan
NP->VB nan
NP->TO nan
NP->DT nan
NP->PRP nan
NP->RB nan
NP->CC nan
NN->NP nan
NN->NN nan
NN->JJ nan
NN->IN nan
NN->VB nan
NN->TO nan
NN->DT nan
NN->PRP nan
NN->RB nan
NN->CC nan
JJ->NP nan
JJ->NN nan
JJ->JJ nan
JJ->IN nan
JJ->VB nan
JJ->TO nan
JJ->DT nan
JJ->PRP nan
JJ->RB nan
JJ->CC nan
IN->NP nan
IN->NN nan
IN->JJ nan
IN->IN nan
IN->VB nan
IN->TO nan
IN->DT nan
IN->PRP nan
IN->RB nan
IN->CC nan
VB->NP nan
VB->NN nan
VB->JJ nan
VB->IN nan
VB->VB nan
VB->TO nan
VB->DT nan
VB->PRP nan
VB->RB nan
VB->CC nan
TO->NP nan
TO->NN nan
TO->JJ nan
TO->IN nan
TO->VB nan
TO->TO nan
TO->DT nan
TO->PRP nan
TO->RB nan
TO->CC nan
DT->NP nan
DT->NN nan
DT->JJ nan
DT->IN nan
DT->VB nan
DT->TO nan
DT->DT nan
DT->PRP nan
DT->RB nan
DT->CC nan
PRP->NP nan
PRP->NN nan
PRP->JJ nan
PRP->IN nan
PRP->VB nan
PRP->TO nan
PRP->DT nan
PRP->PRP nan
PRP->RB nan
PRP->CC nan
RB->NP nan
RB->NN nan
RB->JJ nan
RB->IN nan
RB->VB nan
RB->TO nan
RB->DT nan
RB->PRP nan
RB->RB nan
RB->CC nan
CC->NP nan
CC->NN nan
CC->JJ nan
CC->IN nan
CC->VB nan
CC->TO nan
CC->DT nan
CC->PRP nan
CC->RB nan
CC->CC nan
B Matrix
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->fulton nan
NN->fulton nan
JJ->fulton nan
IN->fulton nan
VB->fulton nan
TO->fulton nan
DT->fulton nan
PRP->fulton nan
RB->fulton nan
CC->fulton nan
NP->county nan
NN->county nan
JJ->county nan
IN->county nan
VB->county nan
TO->county nan
DT->county nan
PRP->county nan
RB->county nan
CC->county nan
NP->grand nan
NN->grand nan
JJ->grand nan
IN->grand nan
VB->grand nan
TO->grand nan
DT->grand nan
PRP->grand nan
RB->grand nan
CC->grand nan
NP->jury nan
NN->jury nan
JJ->jury nan
IN->jury nan
VB->jury nan
TO->jury nan
DT->jury nan
PRP->jury nan
RB->jury nan
CC->jury nan
NP->said nan
NN->said nan
JJ->said nan
IN->said nan
VB->said nan
TO->said nan
DT->said nan
PRP->said nan
RB->said nan
CC->said nan
NP->friday 0.198574414811
NN->friday 3.59088304902e-83
JJ->friday 6.23591718104e-96
IN->friday 4.15778230261e-30
VB->friday 1.124629973e-105
TO->friday 2.35710986167e-98
DT->friday 2.47308831232e-84
PRP->friday 3.209418069e-38
RB->friday 6.94154453153e-75
CC->friday 4.14617199788e-82
NP->an nan
NN->an nan
JJ->an nan
IN->an nan
VB->an nan
TO->an nan
