filename,para_id,sent_id,raw_text,tokenized_text,tokenized_pos,label
cd05,0,0,"Furthermore/rb ,/, as/cs an/at encouragement/nn to/in revisionist/nn thinking/nn ,/, it/pps manifestly/rb is/bez fair/jj to/to admit/vb that/cs any/dti fraternity/nn has/hvz a/at constitutional/jj right/nn to/to refuse/vb to/to accept/vb persons/nns it/pps dislikes/vbz ./.","Furthermore , as an encouragement to revisionist thinking , it manifestly is fair to admit that any fraternity has a constitutional right to refuse to accept persons it dislikes .","rb , cs at nn in nn nn , pps rb bez jj to vb cs dti nn hvz at jj nn to vb to vb nns pps vbz .",religion
cd05,0,1,"The/at Unitarian/jj clergy/nns were/bed an/at exclusive/jj club/nn of/in cultivated/vbn gentlemen/nns --/-- as/cs the/at term/nn was/bedz then/rb understood/vbn in/in the/at Back/jj-tl Bay/nn-tl --/-- and/cc Parker/np was/bedz definitely/rb not/* a/at gentleman/nn ,/, either/cc in/in theology/nn or/cc in/in manners/nns ./.","The Unitarian clergy were an exclusive club of cultivated gentlemen -- as the term was then understood in the Back Bay -- and Parker was definitely not a gentleman , either in theology or in manners .","at jj nns bed at jj nn in vbn nns -- cs at nn bedz rb vbn in at jj-tl nn-tl -- cc np bedz rb * at nn , cc in nn cc in nns .",religion
cd05,0,2,"Ezra/np Stiles/np Gannett/np ,/, an/at honorable/jj representative/nn of/in the/at sanhedrin/nn ,/, addressed/vbd himself/ppl frankly/rb to/in the/at issue/nn in/in 1845/cd ,/, insisting/vbg that/cs Parker/np should/md not/* be/be persecuted/vbn or/cc calumniated/vbn and/cc that/cs in/in this/dt republic/nn no/at power/nn to/to restrain/vb him/ppo by/in force/nn could/md exist/vb ./.","Ezra Stiles Gannett , an honorable representative of the sanhedrin , addressed himself frankly to the issue in 1845 , insisting that Parker should not be persecuted or calumniated and that in this republic no power to restrain him by force could exist .","np np np , at jj nn in at nn , vbd ppl rb in at nn in cd , vbg cs np md * be vbn cc vbn cc cs in dt nn at nn to vb ppo in nn md vb .",religion
cd05,0,3,"Even/rb so/rb ,/, Gannett/np judiciously/rb argued/vbd ,/, the/at Association/nn-tl could/md legitimately/rb decide/vb that/cs Parker/np ``/`` should/md not/* be/be encouraged/vbn nor/cc assisted/vbn in/in diffusing/vbg his/pp$ opinions/nns by/in those/dts who/wps differ/vb from/in him/ppo in/in regard/nn to/in their/pp$ correctness/nn ''/'' ./.","Even so , Gannett judiciously argued , the Association could legitimately decide that Parker `` should not be encouraged nor assisted in diffusing his opinions by those who differ from him in regard to their correctness '' .","rb rb , np rb vbd , at nn-tl md rb vb cs np `` md * be vbn cc vbn in vbg pp$ nns in dts wps vb in ppo in nn in pp$ nn '' .",religion
cd05,0,4,We/ppss today/nr are/ber not/* entitled/vbn to/to excoriate/vb honest/jj men/nns who/wps believed/vbd Parker/np to/to be/be downright/ql pernicious/jj and/cc who/wps barred/vbd their/pp$ pulpits/nns against/in his/pp$ demand/nn to/to poison/vb the/at minds/nns of/in their/pp$ congregations/nns ./.,We today are not entitled to excoriate honest men who believed Parker to be downright pernicious and who barred their pulpits against his demand to poison the minds of their congregations .,ppss nr ber * vbn to vb jj nns wps vbd np to be ql jj cc wps vbd pp$ nns in pp$ nn to vb at nns in pp$ nns .,religion
cd05,0,5,"One/pn can/md even/rb argue/vb --/-- though/cs this/dt is/bez a/at delicate/jj matter/nn --/-- that/cs every/at justification/nn existed/vbd for/in their/pp$ returning/vbg the/at Public/jj-tl Lecture/nn-tl to/in the/at First/od-tl Church/nn-tl ,/, and/cc so/rb to/to suppress/vb it/ppo ,/, rather/rb than/cs let/vb Parker/np use/vb it/ppo as/cs a/at sounding/vbg board/nn for/in his/pp$ propaganda/nn when/wrb his/pp$ turn/nn should/md come/vb to/to occupy/vb it/ppo ./.","One can even argue -- though this is a delicate matter -- that every justification existed for their returning the Public Lecture to the First Church , and so to suppress it , rather than let Parker use it as a sounding board for his propaganda when his turn should come to occupy it .","pn md rb vb -- cs dt bez at jj nn -- cs at nn vbd in pp$ vbg at jj-tl nn-tl in at od-tl nn-tl , cc rb to vb ppo , rb cs vb np vb ppo cs at vbg nn in pp$ nn wrb pp$ nn md vb to vb ppo .",religion
cd05,0,6,"Finally/rb ,/, it/pps did/dod seem/vb clear/jj as/cs day/nn to/in these/dts clergymen/nns ,/, as/cs Gannett's/np$ son/nn explained/vbd in/in the/at biography/nn of/in his/pp$ father/nn ,/, they/ppss had/hvd always/rb contended/vbn for/in the/at propriety/nn of/in their/pp$ claim/nn to/in the/at title/nn of/in Christians/nps ./.","Finally , it did seem clear as day to these clergymen , as Gannett's son explained in the biography of his father , they had always contended for the propriety of their claim to the title of Christians .","rb , pps dod vb jj cs nn in dts nns , cs np$ nn vbd in at nn in pp$ nn , ppss hvd rb vbn in at nn in pp$ nn in at nn in nps .",religion
cd05,0,7,Their/pp$ demand/nn against/in the/at Calvinist/jj-tl Orthodoxy/nn-tl for/in intellectual/jj liberty/nn had/hvd never/rb meant/vbn that/cs they/ppss would/md follow/vb ``/`` free/jj inquiry/nn ''/'' to/in the/at extreme/nn of/in proclaiming/vbg Christianity/np a/at ``/`` natural/jj ''/'' religion/nn ./.,Their demand against the Calvinist Orthodoxy for intellectual liberty had never meant that they would follow `` free inquiry '' to the extreme of proclaiming Christianity a `` natural '' religion .,pp$ nn in at jj-tl nn-tl in jj nn hvd rb vbn cs ppss md vb `` jj nn '' in at nn in vbg np at `` jj '' nn .,religion
cd05,1,0,"Grant/vb all/abn this/dt --/-- still/rb ,/, when/wrb modern/jj Unitarianism/np and/cc the/at Harvard/np-tl Divinity/nn-tl School/nn-tl recall/vb with/in humorous/jj affection/nn the/at insults/nns Parker/np lavished/vbd upon/in them/ppo ,/, or/cc else/rb argue/vb that/cs after/in all/abn Parker/np received/vbd the/at treatment/nn he/pps invited/vbd ,/, they/ppss betray/vb an/at uneasy/jj conscience/nn ./.","Grant all this -- still , when modern Unitarianism and the Harvard Divinity School recall with humorous affection the insults Parker lavished upon them , or else argue that after all Parker received the treatment he invited , they betray an uneasy conscience .","vb abn dt -- rb , wrb jj np cc at np-tl nn-tl nn-tl vb in jj nn at nns np vbd in ppo , cc rb vb cs in abn np vbd at nn pps vbd , ppss vb at jj nn .",religion
cd05,1,1,"Whenever/wrb New/jj-tl England/np-tl liberalism/nn is/bez reminded/vbn of/in the/at dramatic/jj confrontation/nn of/in Parker/np and/cc the/at fraternity/nn on/in January/np 23/cd ,/, 1843/cd --/-- while/cs it/pps may/md defend/vb the/at privilege/nn of/in Chandler/np Robbins/np to/to demand/vb that/cs Parker/np leave/vb the/at Association/nn-tl ,/, while/cs it/pps may/md plead/vb that/cs Dr./nn-tl N./np L./np Frothingham/np had/hvd every/at warrant/nn for/in stating/vbg ,/, ``/`` The/at difference/nn between/in Trinitarians/nps and/cc Unitarians/nps is/bez a/at difference/nn in/in Christianity/np ;/. ;/.","Whenever New England liberalism is reminded of the dramatic confrontation of Parker and the fraternity on January 23 , 1843 -- while it may defend the privilege of Chandler Robbins to demand that Parker leave the Association , while it may plead that Dr. N. L. Frothingham had every warrant for stating , `` The difference between Trinitarians and Unitarians is a difference in Christianity ; ;","wrb jj-tl np-tl nn bez vbn in at jj nn in np cc at nn in np cd , cd -- cs pps md vb at nn in np np to vb cs np vb at nn-tl , cs pps md vb cs nn-tl np np np hvd at nn in vbg , `` at nn in nps cc nps bez at nn in np . .",religion
